AnimalType,Name,SpecificBreed,PrimaryBreed,PrimaryColour,De-sexed,Gender,Age,Locality
D         ,Pablo,MALTESEX  ,MALTES,White     ,Y,M,5,BARINGA
Cat       ,Basil Brush,DOMMH     ,DOMMH ,Tabby     ,Y,M,1,LANDSBOROUGH
D         ,Daisy,FOXTERRMN ,FOXTER,TriColour ,N,F,5,COES CREEK
D         ,Jack,STAFFRDBTX,STAFFR,WhiteTan  ,Y,M,0,CALOUNDRA
D         ,Hooch,MASTIFF   ,MASTIF,Brindle   ,Y,M,0,KULUIN
D         ,Molly,COLLBORDR ,COLLBO,BlackWhite,N,F,0,MARCOOLA
D         ,Arlo,MASTIFF   ,MASTIF,Brindle   ,N,M,0,MOUNTAIN CREEK
D         ,Chief,WOLFHOUNDX,WOLFHO,Black     ,N,M,2,MOUNTAIN CREEK
D         ,Rookie,POINTRGWH ,POINTR,Apricot   ,N,F,0,MOUNTAIN CREEK
D         ,Trouble,STAFFRDBTX,STAFFR,Grey      ,Y,M,0,CURRIMUNDI
D         ,Ella,KELPIEAUS ,KELPIE,Red       ,Y,F,0,LITTLE MOUNTAIN
D         ,Pete,JACKRUSSLX,JACKRU,BlackWhite,Y,M,12,PELICAN WATERS
D         ,Jake,FOXTERRMNX,FOXTER,BrownWhite,Y,M,4,PELICAN WATERS
D         ,Mister Moo,WOLFHOUNDX,WOLFHO,RedWhite  ,Y,M,1,MOOLOOLAH VALLEY
D         ,Bruce,BULLDOGBRX,BULLDO,BlueBrind ,Y,M,0,BEERWAH
D         ,Sir Reginald Wrinklebottom,STAFFRDAM ,STAFFR,Tan       ,Y,M,0,YAROOMBA
D         ,Storm,ROTTWEILR ,ROTTWE,BlackTan  ,Y,F,0,LANDERS SHOOT
D         ,Bundy,KELPIEAUS ,KELPIE,Brown     ,N,M,12,HUNCHY
D         ,Douglas,CAVOODLE  ,CAVOOD,,Y,M,0,PEREGIAN SPRINGS
D         ,Mitta,BULLARAB  ,BULLAR,Chocolate ,N,F,0,EUMUNDI
D         ,Dougal,JACKRUSMNX,JACKRU,BlackWhite,Y,M,6,COES CREEK
D         ,Willow,CAVOODLE  ,CAVOOD,Cream     ,Y,F,5,WURTULLA
D         ,Roxy,BULLARAB  ,BULLAR,TanWhite  ,Y,F,6,WARANA
D         ,Bella,MASTIFF   ,MASTIF,Grey      ,N,F,0,MAPLETON
D         ,Fritz,GERMNPIN  ,GERMNP,Red       ,N,M,0,MAPLETON
D         ,Xhosa,RIDGEBACK ,RIDGEB,Red       ,N,M,0,PALMWOODS
D         ,Mia,RETRIEVGD ,RETRIE,Gold      ,N,F,0,BUDERIM
D         ,Shelby,MOODLE    ,MOODLE,Black     ,Y,F,0,BLI BLI
D         ,Oakland,COLLBORDRX,COLLBO,BlackWhite,Y,M,9,CALOUNDRA
D         ,Buddy,COLLBORDR ,COLLBO,BlackWhite,Y,M,12,CALOUNDRA
D         ,mack,BELGNSHEP ,BELGNS,BlackFawn ,N,M,0,GLASS HOUSE MOUNTAINS
D         ,quinni,SPANIELKCX,SPANIE,WhiteRed  ,Y,F,2,GLASS HOUSE MOUNTAINS
Cat       ,MISTY,DOMMH     ,DOMMH ,Grey      ,Y,F,0,BUDERIM
Cat       ,Nelly,DOMSH     ,DOMSH ,Tabby     ,Y,F,3,MALENY
Cat       ,Melba,DOMSH     ,DOMSH ,Black     ,Y,F,3,MALENY
D         ,Lucy,GERMNSHEP ,GERMNS,BlackTan  ,Y,F,3,BURNSIDE
D         ,Parker,BULLMASTF ,BULLMA,Tan       ,Y,M,10,SIPPY DOWNS
D         ,Wink,KELPIEAUS ,KELPIE,Chocolate ,N,F,0,NORTH MALENY
D         ,Scout,ROTTWEILR ,ROTTWE,BlackTan  ,Y,F,1,BLI BLI
D         ,Frankie,CATTLEDOG ,CATTLE,Tan       ,Y,F,3,BEERWAH
D         ,Indy,STAFFRDAMX,STAFFR,Blue      ,Y,F,1,BATTERY HILL
D         ,Storm,ROTTWEILR ,ROTTWE,BlackTan  ,N,F,0,BUDERIM
D         ,Lola,JACKRUSSL ,JACKRU,White     ,N,F,0,DULONG
D         ,Chilli,SPOODLE   ,SPOODL,Apricot   ,N,F,0,CURRIMUNDI
D         ,Chain,STAFFRDBT ,STAFFR,Blue      ,N,M,1,MAROOCHYDORE
D         ,Digger,DUTCHSHEP ,DUTCHS,Brindle   ,Y,M,1,WARANA
D         ,Jett,WOLFHOUNDX,WOLFHO,Black     ,Y,M,4,LITTLE MOUNTAIN
D         ,Freya,JACKRUSSLX,JACKRU,BlackWhite,Y,F,1,YANDINA
D         ,Ziggy,COLLBORDR ,COLLBO,BlackWhite,Y,F,0,ROSEMOUNT
D         ,Zuri,LABRADOODL,LABRAD,GoldWhite ,Y,F,0,TWIN WATERS
D         ,Bonnie,BULLMASTF ,BULLMA,TanBlack  ,N,F,1,BEERBURRUM
D         ,Suki,GREYHOUND ,GREYHO,Fawn      ,Y,F,5,EERWAH VALE
D         ,Rompa,ROTTWEILR ,ROTTWE,BlackBrown,N,M,0,BATTERY HILL
D         ,Kasey,MALTESEX  ,MALTES,BlackGreyW,Y,F,4,CHEVALLUM
D         ,Letty,CATTLEDOGX,CATTLE,WhiteBrind,Y,F,3,GOLDEN BEACH
D         ,Buster,BULLARABX ,BULLAR,Tan       ,N,M,3,GOLDEN BEACH
D         ,Chachi,AKITA     ,AKITA ,White     ,Y,M,4,BEERWAH
Cat       ,Archie,DOMSH     ,DOMSH ,WhiteGrey ,Y,M,1,MAROOCHYDORE
D         ,Sky,PAPPILLON ,PAPPIL,TriColour ,Y,F,4,COOLUM BEACH
D         ,Lucy,STAFFRDBT ,STAFFR,Blue      ,Y,F,3,BUDERIM
D         ,Panky,DACHSHLHM ,DACHSH,Red       ,N,F,0,COOLUM BEACH
Cat       ,Mitzy,DOMSH     ,DOMSH ,BlackWhite,Y,F,0,BUDERIM
D         ,Gypsy,COLLBORDRX,COLLBO,,Y,F,4,MOOLOOLAH VALLEY
D         ,Harry,LABRADORX ,LABRAD,Black     ,Y,M,2,CAMBROON
D         ,Daisy,COLLBORDR ,COLLBO,BlackWhite,Y,F,12,DOONAN
D         ,Toby,COLLBORDR ,COLLBO,White     ,Y,M,4,MOUNT COOLUM
Cat       ,Monty,CAT       ,CAT   ,BlackBrown,N,M,3,GOLDEN BEACH
D         ,Dusty,CAVOODLE  ,CAVOOD,Black     ,Y,F,4,BLI BLI
D         ,Chloe,CHIHUAHUA ,CHIHUA,BlackWhite,Y,F,16,LANDSBOROUGH
D         ,Scruffy,BULLTERRX ,BULLTE,WhiteBlack,Y,M,3,EUMUNDI
D         ,Marley Oreo,BEAGLE    ,BEAGLE,BlackWhite,N,F,0,MAROOCHYDORE
D         ,George,PUG       ,PUG   ,Black     ,N,M,1,PALMVIEW
D         ,Shellbie,STAFFRDBT ,STAFFR,WhiteTan  ,N,F,0,DIAMOND VALLEY
D         ,Burleigh,BULLARABX ,BULLAR,Brindle   ,Y,M,1,TWIN WATERS
D         ,Mab Johnston,CATTLEDOG ,CATTLE,Blue      ,Y,F,0,BLI BLI
D         ,Penny,COLLBORDR ,COLLBO,BrownWhite,Y,F,0,LANDERS SHOOT
D         ,Jack,LABRADOR  ,LABRAD,Black     ,N,M,0,LANDERS SHOOT
D         ,Buzz,COLLBORDR ,COLLBO,BlackWhite,Y,M,0,COES CREEK
D         ,Charlie,SPANIELCKX,SPANIE,RedTan    ,N,M,0,WOOMBYE
D         ,Stanley,LABRADOR  ,LABRAD,Gold      ,Y,M,0,BUDDINA
D         ,Roxy,CATTLEDOG ,CATTLE,Blue      ,Y,F,1,COOLUM BEACH
D         ,Dakota,HUSKYX    ,HUSKY,BlackGreyW,Y,F,2,BUDERIM
D         ,Pixi,KELPIEAUS ,KELPIE,Red       ,Y,F,4,BEERWAH
D         ,Rosie,BRITTANY  ,BRITTA,White     ,Y,F,5,SIPPY DOWNS
